corridorName,direction,tapInStopsName,tapOutStopsName,payCardBank,payCardSex
Cibubur - Kuningan,0.0,Kemenkes 2,GOR Sumantri 2,flazz,M
Rusun Kapuk Muara - Penjaringan,1.0,Penjaringan,Rusun Kapuk Muara,brizzi,F
Bekasi Barat - Kuningan,0.0,Kuningan Madya 2,Menara Duta,bni,F
Cibubur - BKN,0.0,Cibubur Junction,BKN,dki,M
Ciputat - CSW,1.0,Pusdiklat Kemenag 2,Ps. Ciputat,emoney,M
Senen - Lebak Bulus,0.0,St. Cikini Barat,RSUD Pasar Minggu,emoney,F
Roxy - Benhil,1.0,JPO Blok G,Sbr. Taman Tulang Bawang,dki,F
Pinang Ranti - Pulo Gadung,1.0,Giant Pondok Gede 1,Ps. Pondok Gede,emoney,F
Rusun Pinus Elok - Rusun Pulo Gebang,0.0,Gg. Sawo 2,Pintu Masuk PIK 2,online,F
Harapan Indah - ASMI,0.0,Pulo Mas,ASMI,brizzi,F
Kampung Melayu - Pondok Kelapa,1.0,RS Duren Sawit,Sbr. Klinik Win Medika,dki,M
Kampung Rambutan - Bidara Cina,1.0,Tanah Merdeka Arah Timur,Kampung Rambutan,dki,F
Bintaro - Blok M,0.0,Pertamina Bina Medika,Puskesmas Kel. Gunung,dki,M
Pinang Ranti - Kampung Rambutan,1.0,SMAN 113,Jln. H Mahid,bni,F
Puri Kembangan - Sentraland Cengkareng,0.0,SMKN 42,Kejaksaan Negeri Jakbar,bni,M
Kampung Rambutan - Pondok Gede,0.0,Jln. Kramat IV Rawabinong,Sbr. Jln. Mini II,flazz,M
Terminal Rawamangun - Cipinang Muara,0.0,Rsu Pengayoman,Persahabatan,bni,M
Kampung Rambutan - Pinang Ranti,0.0,SDN Dukuh 01,Garuda Taman Mini 2,emoney,M
Stasiun Palmerah - Bundaran Senayan,1.0,Senayan JCC Arah Barat,DPR MPR 2,brizzi,M
Blok M - Kota,0.0,Sawah Besar Arah Utara,Olimo,dki,M
Stasiun Tebet - Karet via Underpass,1.0,Stasiun Tebet,UPT. LLHD 1,emoney,F
Lenteng Agung - Aseli,1.0,IBI-K 57,Jln. Cupang,brizzi,F
Pangkalan Jati - Rawamangun,0.0,Komplek Wijaya Kusuma 2,Apotik Rini Rawamangun,flazz,F
Jelambar - Juanda,1.0,Petojo,RS Tarakan,dki,F
Roxy - Benhil,1.0,RS Dr Mintohardjo,JPO Blok G,dki,F
Stasiun Tebet - Karet via Patra Kuningan,0.0,Cervino Village,Sbr. Manhattan Hotel,flazz,F
Roxy - Benhil,0.0,ITC Roxy,Sbr. Gedung Pompa Cideng Siantar,dki,M
Bintaro - Blok M,0.0,Bintaro Gg. Masjid,Kolong Tol Guru Saleh,bni,M
Kampung Rambutan - Pondok Gede,0.0,Jln. Bambu Hubuny,Gempol,dki,F
Ragunan - MH Thamrin via Kuningan,0.0,Karet Kuningan,Setiabudi Utara,brizzi,M
Cinere - Bundaran Senayan,1.0,SPBU Limo Cinere 1,South City Cinere,brizzi,M
Puri Beta - Pancoran Barat,1.0,Mayestik,Swadarma,bni,M
Rusun Cakung Barat - Pulo Gadung,0.0,Rusun Tipar Cakung,Rusun Cakung Barat Albo,online,M
Senen - Pulo Gadung,0.0,RSPAD 1,Term. Senen,dki,M
Pulo Gebang - Pulo Gadung 2 via PIK,0.0,Tipar Cakung,PTC Pulo Gadung,dki,M
Tanjung Priok - Sukapura,0.0,Jln. Kramat Jaya Raya,Sbr. SMPN 84,dki,M
Rusun Sindang Koja - Kp. Sawah,1.0,Pure Dalam,Permai Koja 2,dki,M
PGC 2 - Grogol 2,1.0,Pancoran Barat Arah Timur,BNN LRT,dki,M
Kampung Rambutan - Juanda via Pasar Baru,1.0,Tanah Merdeka Arah Timur,Kampung Rambutan,bni,F
Pasar Minggu - Velbak,0.0,Jln. Pangeran Antasari III,Ps. Keramik Panglima Polim,dki,M
Jakarta International Stadium - Senen,1.0,Kemayoran Landas Pacu Timur 2,JIS,emoney,F
Ragunan - Blok M via Kemang,1.0,Plaza Adorama,RSIA Kemang,dki,F
Poris Plawad - Bundaran Senayan,1.0,Jln. Industri 2,Tangerang City 2,dki,M
Bintaro - Fatmawati,0.0,Bintaro Xchange,Titan Center,emoney,F
Joglo - Blok M,1.0,Jln. Kb. Nanas,Balai Pertamina,emoney,F
Puri Beta - Kuningan (Express),0.0,Kuningan Madya,Latuharhary,emoney,M
Kampung Melayu - Pondok Kelapa,1.0,Sbr. Ps. Deprok,Jln. Bekasi Timur I Jatinegara,dki,F
Cibubur Junction - Blok M,0.0,Bundaran Senayan 1,Kejaksaan Agung,dki,F
Tanah Abang - Jembatan Lima,1.0,Term. Bayangan Kota Intan,Simpang Pakin 2,dki,M
Taman Waduk Papanggo - Kota Tua,1.0,Pangeran Jayakarta 2,WTC Mangga Dua,online,M
Senen - Pulo Gadung via Kelapa Gading,0.0,Simpang Gunung Sahari III,Term. Senen,dki,M
BSD Serpong - Fatmawati,1.0,St. MRT Fatmawati,Term. BSD,flazz,F
Depok - BKN,0.0,Sbr. Gg. Saminten,BKN,flazz,F
Senen - Blok M,0.0,Dana Reksa,Plaza Sentral,emoney,M
Pasar Minggu - Tanah Abang,1.0,JPO Blok G,Jak Lingko Tanah Abang 2,dki,F
Cempaka Putih - Pulo Gadung via Kelapa Gading,1.0,Graha Kirana,Sbr. Ruko Cempaka Mas,dki,M
Tanjung Priok - Tanah Merdeka,0.0,Sbr. Masjid Ar Rohmah,Waduk Rawabadak,dki,M
Ragunan - MH Thamrin via Semanggi,0.0,Pejaten,Dukuh Atas,bni,F
Puri Kembangan - Sentraland Cengkareng,1.0,Simpang Kembangan Selatan,Simpang Kapuk Cengkareng,dki,F
Tanjung Priok - Pluit,1.0,Permai Koja Arah Utara,Enggano,dki,M
Puri Beta - Dukuh Atas,0.0,Gatot Subroto Jamsostek Arah Barat,Semanggi,dki,F
Kalimalang - Duren Sawit,1.0,Jln. Swadaya Raya,Simpang Serdang Swadaya Raya 2,brizzi,F
Palem Semi - Bundaran Senayan,1.0,Bundaran Senayan 2,Jln. Palem Jepang Baru,dki,M
Pulo Gadung - Monas,1.0,Pasar Cempaka Putih,ASMI,emoney,M
Kampung Melayu - Duren Sawit,0.0,Bidara Cina 1,Jln. Panti Asuhan,emoney,M
Puri Beta - Ragunan,1.0,Pejaten,Seskoal,brizzi,F
Poris Plawad - Bundaran Senayan,1.0,Islamic,Victoria Park 2,emoney,F
Pulo Gebang - Pulo Gadung 2 via PIK,0.0,SDN Penggilingan,Tipar Cakung,dki,M
Pinang Ranti - Pluit,1.0,Pancoran Tugu Arah Timur,Cikoko Stasiun Cawang Arah Timur,dki,M
Tanah Abang - Jembatan Lima,0.0,Jln. Petojo Barat V,Puskesmas Tambora,online,F
Grogol - Meruya via Roxy,1.0,SDN Meruya Utara 02 Pagi,Sbr. Masjid Nurul Falah Grogol,online,F
Blok M - Pasar Minggu,0.0,Buncit Indah 2,Koperasi,emoney,F
Kampung Melayu - Pondok Kelapa,0.0,Sbr. Komplek Pacul Mas,Univ. Darma Persada 2,dki,M
Rusun Sindang Koja - Kp. Sawah,1.0,BPJS Ketenagakerjaan Marunda,RSUD Koja,emoney,M
Ragunan - Dukuh Atas 2,0.0,Kuningan Timur,Dukuh Atas 2,dki,M
Grogol - Meruya via Roxy,0.0,Komplek Keuangan Saaba,Perumahan Mawar Joglo,bni,M
Jambore Cibubur - Pasar Rebo,0.0,Simpang Belly 2,Sbr. RS Harapan Bunda,online,F
Kalideres - Puri Kembangan,1.0,Jln. Al Falah Duri Kosambi,Sbr. Gg. H. Anim Semanan,emoney,F
Cibubur Junction - Blok M,1.0,GBK Pintu 7,Rest Area Cibubur,dki,F
Lebak Bulus - Pasar Baru via Tomang,0.0,Lebak Bulus,RS Tarakan,brizzi,F
Rusun Rawa Bebek - Bukit Duri,0.0,St. Jatinegara 2,Masjid Attahiriyah,dki,F
Rusun Penjaringan - Penjaringan,0.0,Rusun Penjaringan,Penjaringan,brizzi,F
Puri Beta 2 - Tendean,1.0,Seskoal,Cipulir,emoney,M
Ciputat - CSW,1.0,Situ Gintung 2,Polsek Ciputat 2,dki,M
Cibubur - Kuningan,0.0,Kuningan Timur 2,Kemenkes 1,dki,M
Kalibata - Kuningan,0.0,Jln. Lapangan Ros II Bukit Duri,Keselamatan,brizzi,M
Terminal Tanah Merah - Pulo Gadung,0.0,Masjid Raya Al Musyawarah Kelapa Gading 2,Sbr. Jln. Primanota,brizzi,F
Pulo Gadung - Kota,1.0,Pacuan Kuda Pulo Mas 2,St. LRT Pulo Mas 3,dki,M
Bekasi Timur - Cawang,0.0,Pom Bensin Mulyadi,GP Mall 1,dki,M
Stasiun Palmerah - Tosari,1.0,Karet Sudirman,Senayan JCC Arah Barat,brizzi,F
Kampung Melayu - Tanah Abang,1.0,Kampung Melayu Besar 2,St. Tebet 3,dki,F
Kampung Melayu - Pulo Gebang via BKT,1.0,Jln. Serdang,Penggilingan,online,M
Ciputat - CSW,1.0,Ps. Ciputat,Pom Bensin Ciputat,dki,M
Kebayoran Lama - Tanah Abang,0.0,Pulo Kamboja,Rusun Tanah Abang 2,dki,M
Senen - Lebak Bulus,1.0,Istiqlal 1,Sekolah Penabur Gunung Sahari,emoney,M
Kalibata - Kuningan,1.0,Pengadegan Barat VII,Klinik Kartika Pengadegan,emoney,F
Kampung Melayu - Tanah Abang via Cikini,0.0,Tugu Proklamasi,SMPN 8,dki,F
Pantai Maju - Kota,0.0,Karang Asri 2,Simpang Pakin 3,flazz,M
Kebayoran Lama - Tanah Abang,1.0,Ruko Permata Senayan 1,Ps. Kebayoran Lama 1,dki,M
Cempaka Putih - Pulo Gadung via Kelapa Gading,1.0,Sbr. Sekolah Saint Caroline,Ruko Mega Grosir Cempaka Mas,bni,F
Kebayoran Lama - Jelambar,1.0,Balai Pertamina,Pasar Kebayoran Lama,dki,M
Terminal Tanah Merah - Pulo Gadung,1.0,Bermis 1,Jln. Dewi Sinta,dki,F
Kelapa Gading - Rusun Kemayoran,0.0,Sbr. Apartemen Gading Nias,Sbr. Jln. H. Mawar Sunter,bni,F
PGC 2 - Tanjung Priok,0.0,Cawang UKI,Cipinang Kebon Nanas,dki,M
Rawamangun - Duren Sawit,0.0,GOR Pondok Bambu,Sbr. Gg. Padi Pelita Cipinang,bni,M
Pulo Gadung - Monas,0.0,Cempaka Timur,Monas,dki,M
Terminal Kampung Melayu - Kapin Raya,0.0,Jln. Kesadaran Kali Malang,Jln. Cipinang Bali III,dki,F
Cilincing - Rorotan,0.0,Jln. Pratama I Rorotan,Jln. Rorotan XI,dki,F
Kalibata - Kuningan,1.0,Pengadegan Selatan III,St. Duren Kalibata,flazz,F
Batusari - Grogol,1.0,Mediterania Garden Residences,Ps. Kopro,dki,F
Universitas Indonesia - Lebak Bulus,1.0,RA Kartini,SMAN 38,flazz,M
Lebak Bulus - Andara,1.0,Jln. Baros,Lebak Bulus Jak Lingko,dki,M
Meruya - Blok M,1.0,Jln. Swadarma Utara VI,Sbr. Jln. Kampung Baru V,dki,F
Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,0.0,Tebet Eco Park Selatan 4,Jln. Tebet Timur Dalam VIII J,dki,M
Monas - Pantai Indah Kapuk,1.0,Monas 1,Monas 3,dki,F
Blok M - Kota,0.0,Blok M,Kali Besar Barat,dki,M
Pinang Ranti - Pluit,1.0,BNN LRT,Cawang UKI,dki,M
Pulo Gadung - Monas,1.0,Gambir 2,Pulo Mas,brizzi,M
Bintara - Cipinang Indah,1.0,Sbr. PAUD Bintang Pondok Bambu,Institut Teknologi Budi Utomo 1,emoney,F
Rusun Rawa Bebek - Penggilingan,0.0,Walikota Jakarta Timur 2,Penggilingan 1,flazz,M
Pesanggrahan - Blok M,0.0,Bintaro Park VIew,Sbr. SMPN 235,emoney,F
Rusun Rawa Bebek - Kodamar,0.0,Taman Elok 1,Kampung Padaengan 1,emoney,F
Joglo - Blok M,1.0,Gg. Sawo Joglo,Simpang Kramat II,emoney,F
BSD Serpong - Fatmawati,1.0,St. MRT Fatmawati,RS Siloam,dki,F
Rawamangun - Duren Sawit,1.0,Arion Mall,Duren Sawit,dki,M
Kampung Melayu - Pondok Kelapa,0.0,Sbr. Perum Taman Malaka,Pospol Pondok Kelapa,bni,M
Kampung Rambutan - Pondok Gede,1.0,Gg. Waru,Gg. Rukun Lubang Buaya,dki,F
Stasiun Palmerah - Bundaran Senayan,1.0,Bundaran Senayan,St. Palmerah,dki,F
Pulo Gadung - Rawa Buaya via Balai Kota,1.0,RS Islam,Cempaka Timur,dki,F
Cibubur - Balai Kota,1.0,Bank Indonesia 1,Sari Pan Pacific,emoney,F
Kalideres - Bundaran HI via Veteran,0.0,Grogol 1,Sumur Bor,flazz,M
Terminal Kampung Melayu - Terminal Klender,0.0,Jln. Buaran III,Jln. Duren Sawit Dermaga,flazz,M
Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,Jln. Tebet Barat Raya,Jln.Tebet Barat V,dki,M
Tongtek - Tebet Eco Park (TEP) - Cililitan,1.0,Gebu Minang,Klinik Firdausy,dki,F
Kampung Melayu - Pulo Gebang via BKT,1.0,Buaran Plaza,Perumnas Klender,dki,M
Stasiun Manggarai - UI,1.0,Komplek Keuangan,Sbr. Transvision Tebet,brizzi,F
Kampung Rambutan - Juanda via Pasar Baru,1.0,Tanah Merdeka Arah Timur,Kampung Rambutan,dki,F
Pinang Ranti - Pramuka,1.0,Garuda Taman Mini,Pinang Ranti,dki,M
Tanjung Priok - Blok M,1.0,Pasar Baru,Jembatan Merah,dki,F
Pulo Gebang - Rorotan,1.0,Jln. Pulau Sangiyang Lingkar Timur,Sentra Timur,online,F
Rusun Rawa Bebek - Kodamar,1.0,Al Wathoniyah 2,Raya Pulo Gebang Akses St. Cakung,dki,F
Kebayoran Lama - Tanah Abang,1.0,Jak Lingko Tanah Abang,St. Tanah Abang 3,flazz,F
Cinere - Bundaran Senayan,1.0,Bundaran Senayan 1,Gerbang Tol Brigif,emoney,M
Rusun Pesakih - Kalideres,0.0,Rusun Pesakih,Pesakih 2,dki,M
Kelapa Gading - Rusun Kemayoran,0.0,Sbr. Apartemen Gading Nias,Jln. Gading Batavia,flazz,M
Summarecon Bekasi - BNN,1.0,Bandar Djakarta Bekasi,Summarecon Bekasi,flazz,F
Lebak Bulus - Cipulir,1.0,RSUD Pesanggrahan,Masjid Al Jihad Ulujami,emoney,M
Blok M - Kota,0.0,Bendungan Hilir,Bank Indonesia Arah Utara,dki,M
Pangkalan Jati - Rawamangun,1.0,Tip Top Rawamangun,Pos Rw 06 Pondok Bambu,dki,M
Terminal Kampung Melayu - Terminal Klender,0.0,SKKT Pondok Bambu,Jln. Bekasi Timur VI,emoney,M
Ragunan - Dukuh Atas 2,1.0,Pejaten,Departemen Pertanian,brizzi,M
Harmoni - Jakarta International Stadium,1.0,Harmoni Arah Utara,Sawah Besar Arah Selatan,brizzi,F
Tanah Abang - Kota,1.0,Pecenongan 2,Sbr. Dinas Kesehatan DKI Jakarta,dki,F
Kp. Rambutan - Taman Wiladatika,1.0,Kel. Cibubur,Mall Cijantung,brizzi,M
Kelapa Gading - Rusun Kemayoran,1.0,Jln. H. Mawar Sunter,Mitra Gading Villa,bni,F
Ragunan - Blok M via Kemang,0.0,Kemang Raya 40,Puskesmas Kebayoran Baru,brizzi,M
Rusun Cipinang Besar Selatan - Penas Kalimalang,1.0,Cipinang Kb. Nanas 1,Cipinang Kb. Nanas 2,bni,F
Tanjung Priok - Sukapura,0.0,Jln. Lorong 22,Term. Tj. Priok 1,dki,F
Rempoa - Blok M,1.0,Masjid Pondok Indah 1,Kel. Bintaro,dki,F
Cilangkap - Cililitan,0.0,Simpang Raya Bogor Cililitan,Ps. Kramat Jati 1,dki,F
Rusun Sindang Koja - Kp. Sawah,1.0,Jln. B Lagoa Terusan 2,Jln. Cilincing Raya 1,dki,M
Harapan Indah - ASMI,0.0,Raya Penggilingan,RS Mediros,bni,M
Cibubur - Balai Kota,0.0,St. Sudirman 2,Tosari 2,dki,M
Cilincing - Rorotan,0.0,Gg. H. Abdullah Marunda,Gg. Damai I Rorotan,dki,M
Rusun Rawa Bebek - Kodamar,0.0,IGI,Pulo Mas 2,online,M
Bulak Turi - Tanjung Priok,0.0,Jln. Belimbing Terusan,Jln. Elpa Putih II,dki,M
Tanah Abang - Stasiun Gondangdia,1.0,SMKN 38,DPRD DKI Jakarta,dki,F
Matraman Baru - Ancol,0.0,Pademangan,Ancol,dki,M
Poris Plawad - Bundaran Senayan,1.0,SDN Sukasari Enam 2,Mall Bale Kota,online,F
Puri Beta 2 - Tendean,0.0,Cipulir,Tendean,flazz,F
Joglo - Blok M,0.0,Permata Hijau RS Medika 1,Jln. Sukabumi Selatan,dki,F
Stasiun Manggarai - UI,1.0,Balai Sudirman,SDN 01 02 03,dki,F
Roxy - Benhil,1.0,Pam Jaya DKI,Gedung Pompa Cideng Siantar,dki,M
Puri Beta - Pancoran Barat,1.0,Tendean,Adam Malik,dki,M
Rawamangun - Klender,1.0,STAI Az Ziyadah 2,Yayasan Asih Budi,dki,M
Tanjung Priok - Plumpang,1.0,Jln. Warakas II,Term. Tj. Priok 2,emoney,F
TU Gas - Bundaran Senayan,0.0,Pasar Genjing,Matraman 2,bni,M
Term. Rawamangun - Term. Manggarai,0.0,Jln. Cipinang Timur Persahabatan,Flyover Jatinegara Atas,brizzi,F
Pulo Gadung 2 - Kuningan,0.0,Departemen Kesehatan,Patra Kuningan,dki,M
Tanah Abang - Meruya,0.0,Jak Lingko Tanah Abang 2,Sbr. SDN Palmerah 07,bni,M
Rusun Marunda - Tanjung Priok,0.0,Simpang Pitungan,Enggano,emoney,F
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Taman Ut Aheme,Sbr. Swadaya Raya,dki,F
Kampung Melayu - Pulo Gebang via BKT,0.0,SMKN 48,Masjid Jami Al Barkah 2,emoney,M
Terminal Rawamangun - Cipinang Muara,0.0,Persahabatan,Rukan Balai Pustaka,dki,M
Harapan Baru - Pulo Gebang via Rawa Kuning,0.0,Kota Harapan Indah 2,Simpang Tiga Pulo Gebang Raya,dki,M
Kampung Rambutan - Lebak Bulus,0.0,Plaza Oleos,JGC Indonesia,bni,M
Kampung Melayu - Pulo Gadung,0.0,St. LRT Velodrome 3,Pulo Gadung 4,dki,F
Matraman Baru - Ancol,0.0,Pademangan,Ancol,dki,F
Blok M - Kota,0.0,Sawah Besar Arah Utara,Olimo,emoney,M
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Sbr. SMPN 195,Gereja Santa Anna 2,emoney,F
Cilincing - Rorotan,1.0,Mushola Almujtahida Rorotan,Ponpes Alhikmah Rorotan,flazz,F
Cililitan - Condet,1.0,Ps. Kramat Jati 2,PGC Dalam,flazz,F
Rusun Kapuk Muara - Penjaringan,0.0,Rusun Kapuk Muara,Penjaringan,emoney,F
Ragunan - MH Thamrin via Kuningan,0.0,Karet Kuningan,MH Thamrin,dki,M
Ciputat - CSW,1.0,Lebak Bulus,Situ Gintung 2,emoney,F
Tanjung Priok - Senen via Taman BMW,1.0,Ancol Pintu 2,Jln. Industri Tj. Priok,brizzi,M
Pinang Ranti - Bundaran Senayan,0.0,Garuda Taman Mini,Tegal Parang Arah Barat,emoney,M
PGC 2 - Grogol 2,1.0,Gatot Subroto Jamsostek Arah Timur,Pancoran Barat Arah Timur,bni,F
Monas - Pantai Indah Kapuk,0.0,Gold Coast,Pantai Maju,dki,F
Ragunan - Blok M via Kemang,0.0,Simpang Dharmawangsa VIII,Blok M Jalur 2,bni,F
Puri Beta - Kuningan (Express),0.0,Setiabudi Utara,Latuharhary,brizzi,M
Pulo Gadung - Monas,1.0,Bermis,Pulo Gadung 1,dki,F
Kampung Melayu - Pulo Gebang via BKT,0.0,Masjid Jami Al Barkah 2,Cipinang Indah,dki,M
Harmoni - Jakarta International Stadium,0.0,Sunter Muara,Pasar Baru Timur,dki,M
Ragunan - Gelora Bung Karno,0.0,SMK 57,Jati Padang,dki,M
Universitas Indonesia - Lebak Bulus,1.0,SPBU Jln. Guru,Syibi,online,F
Ciputat - Kampung Rambutan,1.0,Jln. Asmin 2,Cirendeu Permai,dki,M
Term. Rawamangun - Term. Manggarai,1.0,Sbr. St. Manggarai,Simpang Manggarai Utara,dki,M
Rusun Marunda - Tanjung Priok,0.0,Simpang Pitungan,Enggano,dki,M
Kampung Rambutan - Pondok Gede,0.0,RS Adhiyaksa,Term. Kampung Rambutan,dki,M
Gondangdia - Senen,1.0,Sbr. KPAI,Taman Menteng 1,dki,F
Bekasi Barat - Blok M,0.0,RS Mitra Keluarga 1,Komdak 1,brizzi,M
Bekasi Barat - Kuningan,0.0,Kemenkes 1,Setiabudi Utara 2,brizzi,M
Rusun Waduk Pluit - Penjaringan,0.0,Simpang Pluit Raya,Kel. Penjaringan,online,F
Puri Beta - Ragunan,0.0,Buncit Indah,Jati Padang,dki,M
Cililitan - Condet via Kayu Manis,0.0,Simpang Waru Gedong,SMKN 22,dki,F
Kampung Rambutan - Pasar Rebo via Poncol,0.0,Kel. Susukan,Simpang Raya Bogor Suci,dki,M
Cawang UKI - Lubang Buaya,0.0,Transjakarta Pintu 1,Kel. Halim Perdana Kusuma,flazz,F
Depok - BKN,0.0,D Mall,Komplek Pelni,dki,M
Puri Beta 2 - Tendean,1.0,Mayestik,Swadarma,emoney,F
Kampung Melayu - Duren Sawit,0.0,SDN Cipinang Besar Selatan,Sekolah Tunas Cemerlang,dki,M
Taman Kota - Budi Luhur,0.0,Jln. Al Hidayah Basmol,Jembatan Taman Kota,flazz,F
Stasiun Tebet - Karet via Underpass,1.0,Pos Polisi Satrio,Lotte Mall Kuningan 1,dki,M
Kampung Rambutan - Pondok Gede,1.0,Sbr. Gg. Swadaya Pagelarang,Gg. Rukun Lubang Buaya,dki,F
Tanjung Priok - Pluit,0.0,Kali Besar Barat,Pluit,emoney,M
Monas - Pantai Indah Kapuk,0.0,IRTI,Food Street,dki,F
Ciledug - Tendean,1.0,Cipulir,JORR,emoney,M
Poris Plawad - Bundaran Senayan,1.0,Rukan Teuku Umar,Term. Poris Plawad,dki,F
Blok M - Andara,0.0,Jln. Bunga Cempaka II Cipete,Jln. Berlian II Pondok Labu,dki,F
Puri Beta - Pancoran Barat,0.0,Rawa Barat,Pancoran Barat Arah Timur,emoney,F
Terminal Rawamangun - Cipinang Muara,0.0,Sbr. Jln. H. Hanafi Cipinang,Sudin Pencatatan Sipil 1,dki,F
Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,Jln. Tebet Barat Raya,Jln.Tebet Barat V,dki,M
Stasiun Tebet - Karet via Patra Kuningan,0.0,UPT. LLHD 1,Karet Pedurenan 1,dki,F
Ciledug - Tendean,1.0,Seskoal,Swadarma,dki,F
PGC - Juanda,0.0,Cawang Otista,Tegalan,emoney,F
Pinang Ranti - Pulo Gadung,0.0,UNKRIS,Pospol Makasar,dki,F
Lebak Bulus - Ragunan,1.0,Badan Diklat Kejaksaan RI,Gg. Harapan I Jagakarsa,dki,M
Cililitan - Kp. Pulo,0.0,Kel. Halim Perdana Kusuma,RPTRA Kampung Pulo Asri,dki,F
S. Parman - Tanah Abang,1.0,Jln. Kapuas Cideng Barat,Simpang KH Hasyim Cideng Barat,flazz,F
Grogol - Meruya via Roxy,1.0,Kel. Duri Kepa,Term. Grogol,emoney,F
Grogol - Srengseng,0.0,Gg. CC Palmerah,Simpang Rawa Belong Sulaiman,emoney,F
Tanah Abang - Grogol via Tawakal,1.0,Simpang Mandala Selatan Timur,Jak Lingko Tanah Abang,dki,F
Kalimalang - Duren Sawit,1.0,Gereja HKBP Duren Sawit,Masjid Baiturrahman Duren Sawit,emoney,F
Puri Beta - Kuningan (Express),0.0,Setiabudi Utara,Latuharhary,bni,F
Kp. Rambutan - Kalisari,0.0,Jln. Batas II Baru,Pesona Kalisari,online,M
Cibubur - Balai Kota,0.0,Bank Indonesia 2,IRTI,dki,F
Bekasi Timur - Cawang,1.0,BTC 2,Terminal Bekasi,emoney,M
Gondangdia - Senen,1.0,Graha Jasindo,Theresia,bni,F
Batusari - Grogol,0.0,Suzuki Panjang Arteri,Univ. Tarumanegara 2,brizzi,F
Kampung Rambutan - Pasar Rebo via Poncol,0.0,KPP Pratama Pasar Rebo,Sbr. Akademi Farmasi Mahadhika,emoney,M
Rusun Cipinang Besar Selatan - Penas Kalimalang,0.0,Rusun Cipinang Besar Selatan,STMT Trisakti 2,flazz,F
Rusun Penjaringan - Penjaringan,1.0,Penjaringan,Rusun Penjaringan,online,F
Pulo Gadung 2 - Tosari,0.0,Velodrome,Pasar Genjing,dki,F
Kampung Rambutan - Juanda via Pasar Baru,1.0,Rawa Selatan,Pemuda Pramuka,emoney,M
Pulo Gebang - Rorotan,0.0,Sbr. YPI Asyaadah,Simpang Kaliabang Rorotan 1,online,F
Tanjung Priok - Pluit,0.0,Penjaringan,Pluit,dki,M
Cibubur - Balai Kota,0.0,Tosari 2,Bank Indonesia 2,dki,M
Ragunan - Gelora Bung Karno,1.0,Pejaten,SMK 57,bni,F
Lebak Bulus - Ragunan,1.0,Jln. Pondok Labu 1A,SDN Lebak Bulus 01,dki,F
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Walikota Jakarta Timur 2,Flyover Radin Inten 1,dki,F
Rusun Komarudin - Penggilingan,0.0,Walikota Jakarta Timur,Penggilingan,flazz,F
Ragunan - Dukuh Atas 2,0.0,Kuningan Madya,Setiabudi Utara,flazz,M
Kampung Rambutan - Pasar Rebo via Poncol,0.0,Simpang Raya Bogor Suci,Jln. H. Jusin Susukan,online,M
Senen - Lebak Bulus,1.0,Selapa Polri,Cilandak,emoney,F
Kebayoran Lama - Tanah Abang,1.0,Tanah Abang 2,St. Karet,dki,M
Kebayoran Lama - Jelambar,0.0,Limo,S Parman Podomoro City Arah Barat,dki,F
Senen - Lebak Bulus,0.0,Ampera 2,Lebak Bulus,dki,F
Andara - Stasiun Universitas Pancasila,0.0,Sbr. Sekolah Islam Al Azhar Jagakarsa,Gg. H. Tohir,dki,F
PGC - Juanda,1.0,BKN,PGC 2,dki,M
Kampung Melayu - Tanah Abang,0.0,Flyover Kampung Melayu,UPT. LLHD 1,dki,F
Grogol - Tubagus Angke,1.0,RSJ Dr Soeharto Heerdjan,Sbr. Ps. Kb. Pisang,online,M
Rusun Rawa Bebek - Kodamar,1.0,Mushola Al Jihad Perintis Kemerdekaan,Jln. Kesadaran Pool Bus 1,dki,M
Tanah Abang - Grogol via Tawakal,0.0,Jln. Tali Kota Bambu Selatan,Pospol Tomang 2,dki,M
Senen - Pisangan Baru,0.0,Jln. Galur Sari Barat 2,SDN Utan Kayu Selatan 23 Pagi,dki,F
BSD - Jelambar,0.0,Gading Serpong 1,Tol Kb. Jeruk 2,brizzi,F
Blok M - Andara,1.0,Sbr. BBPK Jakarta,Fatmawati 2,dki,F
Kampung Melayu - Pulo Gebang via BKT,1.0,Penggilingan,Walikota Jakarta Timur,bni,F
PGC 2 - Tanjung Priok,1.0,Penas Kalimalang,BKN,dki,F
Pulo Gadung - Rawa Buaya via Balai Kota,1.0,Taman Kota,Monas,dki,M
Cinere - Kuningan,1.0,Perpustakaan Umum Daerah,Gedung Granadi,dki,F
Blok M - Universitas Indonesia,0.0,Brimob Pejaten Barat 2,Carrefour Pejaten Barat,dki,M
Kampung Melayu - Duren Sawit,0.0,Simpang Pondok Bambu Batas 1,Simpang BKT,bni,F
Tanah Abang - Kota,0.0,Sbr. Sekolah Fajar Sion,Simpang Roa Malaka Selatan,bni,F
Kampung Rambutan - Pinang Ranti,0.0,Tanah Merdeka 1,SDN Dukuh 05,dki,M
